sample,rxn_id,rxn_name,gpr,orig_lb,orig_ub,was_active_uptake,is_essential_nutrient,nutrient_label,genes,gene_scores,min_score,max_score,all_below_threshold,removal_cause
Lung_Healthy,HMR_9360,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9362,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9364,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9365,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9366,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9367,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9368,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9373,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9374,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9375,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9376,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9382,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9383,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9384,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9385,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9389,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9391,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9393,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9395,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9396,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9397,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9398,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9400,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9401,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9405,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9406,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9408,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9409,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9410,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9411,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9412,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
